,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Slurm_id,cooling_rate,PVA-length,T_start,T_end,sim_id,run_in_series,run_length,used_wc_time,p,nodes,ntasks,description
,,,,,,,,,,,,,
,18461238,10**(-3),100,0.7,0.7,,3,,,rome,2,256,
,18461965,10**(-3),100,0.85,0.85,,3,,,rome,2,256,
,18569552,10**(-3),100,1,0.88,1,1,24000,2m49s,rome,1,128,Quench to 0.88
,18570555,10**(-3),100,0.88,0.88,1,1,total 6e7,5d0m0s,rome,1,128,
,18571140,10**(-3),100,0.7,0.85,1,1,total 6e7,5d0m0s,rome,1,128,Instantaneous heat up executed in first step
,,,,,,,,,,,,,
,19541069,10**(-3),50,1,0.88,1,1,24000,,rome,1,128,Quench to 0.88
,19541462,10**(-3),50,0.88,0.88,1,1,60000000,5e0m0s,rome,1,128,T088 equil 
,19541272,10**(-3),200,1,0.88,1,1,24000,,rome,1,128,Quench to 0.88
,19541494,10**(-3),200,0.88,0.88,1,1,60000000,5e0m0s,rome,1,128,T088 equil 
,21221526,10**(-3),500,0.88,0.88,1,2,30000000,,genua,2,384,
,,,,,,,,,,,,,
,21740091,10**(-3),50,0.88,0.88,1,2,60000000,5e0m0s,rome,1,128,T088 equil 
,21740454,10**(-3),200,0.88,0.88,1,2,60000000,5e0m0s,rome,1,128,T088 equil 
,21740857,10**(-3),300,0.88,0.88,1,2,60000000,5e0m0s,rome,1,128,T088 equil 
,21742558,10**(-3),500,0.88,0.88,1,3,60000000,,genua,2,384,
,21742625,10**(-3),1000,0.88,0.88,1,2,60000000,,genua,2,384,
